0 -1.25298e-06 1.56099e-06 3.17604e-06
0.02 -1.40162e-06 1.95014e-06 3.62139e-06
0.04 -1.5573e-06 2.37931e-06 4.09228e-06
0.06 -1.72074e-06 2.84992e-06 4.59016e-06
0.08 -1.8926e-06 3.3625e-06 5.11617e-06
0.1 -2.07344e-06 3.91658e-06 5.67102e-06
0.12 -2.26373e-06 4.51064e-06 6.2549e-06
0.14 -2.46381e-06 5.14199e-06 6.86738e-06
0.16 -2.67386e-06 5.8068e-06 7.50728e-06
0.18 -2.89391e-06 6.50016e-06 8.17261e-06
0.2 -3.12377e-06 7.21615e-06 8.8605e-06
0.22 -3.36308e-06 7.94803e-06 9.56721e-06
0.24 -3.61122e-06 8.68845e-06 1.02881e-05
0.26 -3.86735e-06 9.42974e-06 1.10179e-05
0.28 -4.13038e-06 1.01642e-05 1.17505e-05
0.3 -4.39898e-06 1.08845e-05 1.24796e-05
0.32 -4.67157e-06 1.15839e-05 1.31988e-05
0.34 -4.94637e-06 1.22568e-05 1.39018e-05
0.36 -5.22138e-06 1.28988e-05 1.4583e-05
0.38 -5.4944e-06 1.35071e-05 1.52377e-05
0.4 -5.7631e-06 1.40807e-05 1.58627e-05
0.42 -6.02501e-06 1.46206e-05 1.64565e-05
0.44 -6.27756e-06 1.51293e-05 1.70194e-05
0.46 -6.51811e-06 1.56112e-05 1.75544e-05
0.48 -6.74401e-06 1.60722e-05 1.80663e-05
0.5 -6.95261e-06 1.65191e-05 1.85627e-05
0.52 -7.14127e-06 1.69594e-05 1.90531e-05
0.54 -7.30744e-06 1.74007e-05 1.95493e-05
0.56 -7.44864e-06 1.785e-05 2.00643e-05
0.58 -7.5625e-06 1.83132e-05 2.06124e-05
0.6 -7.64678e-06 1.87944e-05 2.12087e-05
0.62 -7.69934e-06 1.92956e-05 2.18678e-05
0.64 -7.71818e-06 1.98158e-05 2.2604e-05
0.66 -7.70137e-06 2.03517e-05 2.34301e-05
0.68 -7.64709e-06 2.08966e-05 2.43572e-05
0.7 -7.55353e-06 2.14412e-05 2.53939e-05
0.72 -7.41889e-06 2.19737e-05 2.65461e-05
0.74 -7.24133e-06 2.24807e-05 2.78166e-05
0.76 -7.01892e-06 2.29475e-05 2.92052e-05
0.78 -6.7496e-06 2.33593e-05 3.07083e-05
0.8 -6.43119e-06 2.37022e-05 3.2319e-05
0.82 -6.06136e-06 2.39639e-05 3.40277e-05
0.84 -5.63767e-06 2.41351e-05 3.5822e-05
0.86 -5.15766e-06 2.42104e-05 3.76875e-05
0.88 -4.6189e-06 2.41883e-05 3.96077e-05
0.9 -4.01916e-06 2.40723e-05 4.1565e-05
0.92 -3.35658e-06 2.38709e-05 4.35411e-05
0.94 -2.62981e-06 2.3597e-05 4.55174e-05
0.96 -1.83827e-06 2.32681e-05 4.74757e-05
0.98 -9.82327e-07 2.29048e-05 4.93985e-05
1 -6.34972e-08 2.25302e-05 5.12698e-05
1.02 9.15376e-07 2.21685e-05 5.30751e-05
1.04 1.95e-06 2.18438e-05 5.48019e-05
1.06 3.03455e-06 2.15786e-05 5.64399e-05
1.08 4.16167e-06 2.13928e-05 5.79811e-05
1.1 5.32251e-06 2.13024e-05 5.94198e-05
1.12 6.50685e-06 2.13189e-05 6.07527e-05
1.14 7.70332e-06 2.14488e-05 6.19783e-05
1.16 8.89962e-06 2.16932e-05 6.30969e-05
1.18 1.00828e-05 2.20482e-05 6.41099e-05

===================================================================================
=   BAD TERMINATION OF ONE OF YOUR APPLICATION PROCESSES
=   RANK 0 PID 339791 RUNNING AT whoville
=   KILLED BY SIGNAL: 9 (Killed)
===================================================================================

===================================================================================
=   BAD TERMINATION OF ONE OF YOUR APPLICATION PROCESSES
=   RANK 1 PID 339792 RUNNING AT whoville
=   KILLED BY SIGNAL: 9 (Killed)
===================================================================================

===================================================================================
=   BAD TERMINATION OF ONE OF YOUR APPLICATION PROCESSES
=   RANK 2 PID 339793 RUNNING AT whoville
=   KILLED BY SIGNAL: 9 (Killed)
===================================================================================

===================================================================================
=   BAD TERMINATION OF ONE OF YOUR APPLICATION PROCESSES
=   RANK 3 PID 339794 RUNNING AT whoville
=   KILLED BY SIGNAL: 9 (Killed)
===================================================================================

===================================================================================
=   BAD TERMINATION OF ONE OF YOUR APPLICATION PROCESSES
=   RANK 4 PID 339795 RUNNING AT whoville
=   KILLED BY SIGNAL: 11 (Segmentation fault)
===================================================================================

===================================================================================
=   BAD TERMINATION OF ONE OF YOUR APPLICATION PROCESSES
=   RANK 5 PID 339796 RUNNING AT whoville
=   KILLED BY SIGNAL: 11 (Segmentation fault)
===================================================================================

===================================================================================
=   BAD TERMINATION OF ONE OF YOUR APPLICATION PROCESSES
=   RANK 6 PID 339797 RUNNING AT whoville
=   KILLED BY SIGNAL: 11 (Segmentation fault)
===================================================================================

===================================================================================
=   BAD TERMINATION OF ONE OF YOUR APPLICATION PROCESSES
=   RANK 7 PID 339798 RUNNING AT whoville
=   KILLED BY SIGNAL: 11 (Segmentation fault)
===================================================================================
